
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    127.0.0.1:26054        127.0.0.1:7890         ESTABLISHED     33468
  TCP    127.0.0.1:26055        127.0.0.1:7890         ESTABLISHED     33468
  TCP    127.0.0.1:26103        127.0.0.1:7890         ESTABLISHED     33468
  TCP    127.0.0.1:26204        127.0.0.1:7890         ESTABLISHED     24812
  TCP    127.0.0.1:26271        127.0.0.1:7890         ESTABLISHED     33468
  TCP    127.0.0.1:26335        127.0.0.1:7890         ESTABLISHED     3348
  TCP    127.0.0.1:26350        127.0.0.1:7890         ESTABLISHED     33468
  TCP    127.0.0.1:26352        127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:26372        127.0.0.1:7890         ESTABLISHED     24812
  TCP    127.0.0.1:26374        127.0.0.1:7890         ESTABLISHED     24812
  TCP    127.0.0.1:26380        127.0.0.1:7890         ESTABLISHED     24812
  TCP    127.0.0.1:26386        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:26387        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:26388        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:26389        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:26390        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:26396        127.0.0.1:7890         ESTABLISHED     24812
  TCP    127.0.0.1:26398        127.0.0.1:7890         TIME_WAIT       0
  TCP    127.0.0.1:26400        127.0.0.1:7890         ESTABLISHED     24812
  TCP    127.0.0.1:28182        0.0.0.0:0              LISTENING       15468
  TCP    127.0.0.1:30274        127.0.0.1:8588         ESTABLISHED     11440
  TCP    127.0.0.1:30276        127.0.0.1:8588         ESTABLISHED     33352
  TCP    127.0.0.1:30317        127.0.0.1:8590         ESTABLISHED     5648
  TCP    127.0.0.1:30318        127.0.0.1:8588         ESTABLISHED     5648
  TCP    127.0.0.1:30600        127.0.0.1:8588         ESTABLISHED     5704
  TCP    127.0.0.1:30662        127.0.0.1:8588         ESTABLISHED     34800
  TCP    127.0.0.1:30708        0.0.0.0:0              LISTENING       30412
  TCP    127.0.0.1:30708        127.0.0.1:30710        ESTABLISHED     30412
  TCP    127.0.0.1:30710        127.0.0.1:30708        ESTABLISHED     11956
  TCP    127.0.0.1:44950        0.0.0.0:0              LISTENING       37368
  TCP    127.0.0.1:44960        0.0.0.0:0              LISTENING       37368
  TCP    127.0.0.1:47890        0.0.0.0:0              LISTENING       12260
  TCP    172.28.240.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.247.144:139    0.0.0.0:0              LISTENING       4
  TCP    192.168.247.144:6839   111.62.37.139:443      ESTABLISHED     11956
  TCP    192.168.247.144:7346   111.62.113.78:443      ESTABLISHED     11956
  TCP    192.168.247.144:9602   111.62.37.140:443      ESTABLISHED     11956
  TCP    192.168.247.144:15235  115.190.141.103:443    CLOSE_WAIT      21016
  TCP    192.168.247.144:19898  1.12.12.21:443         ESTABLISHED     11956
  TCP    192.168.247.144:20018  36.155.229.146:443     ESTABLISHED     11956
  TCP    192.168.247.144:20028  117.144.246.244:443    ESTABLISHED     11956
  TCP    192.168.247.144:21191  118.196.65.58:443      ESTABLISHED     2408
  TCP    192.168.247.144:25176  120.196.204.187:38609  ESTABLISHED     11956
  TCP    192.168.247.144:25922  120.253.253.34:443     ESTABLISHED     11956
  TCP    192.168.247.144:26002  36.150.33.61:443       ESTABLISHED     11956
  TCP    192.168.247.144:26041  120.240.153.141:38609  ESTABLISHED     11956
  TCP    192.168.247.144:26056  120.240.153.141:38609  ESTABLISHED     11956
  TCP    192.168.247.144:26057  120.240.153.141:38609  ESTABLISHED     11956
  TCP    192.168.247.144:26104  120.240.153.141:38609  ESTABLISHED     11956
  TCP    192.168.247.144:26203  49.4.19.79:5223        ESTABLISHED     33352
  TCP    192.168.247.144:26205  13.69.239.77:443       ESTABLISHED     11956
  TCP    192.168.247.144:26272  120.196.204.187:38609  ESTABLISHED     11956
  TCP    192.168.247.144:26337  39.145.27.247:443      ESTABLISHED     11956
  TCP    192.168.247.144:26351  120.196.204.187:38609  ESTABLISHED     11956
